obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"1863.685616"	"0.000010"	""	"2.9796e+04"	AA	"(421353.177874)"	"(426717.425022)"	"5f"	"2F*"	"5/2"	"6d"	"2D"	"5/2"		"T7771"	""	
""	"1863.685741"	"0.000010"	""	"7.7201e+05"	AA	"(421353.178101)"	"(426717.424890)"	"5d"	"2D"	"5/2"	"6f"	"2F*"	"5/2"		"T7771"	""	
""	"1863.687267"	"0.000009"	""	"2.5750e+07"	AA	"(421353.2402246)"	"(426717.48262081)"	"5g"	"2G"	"7/2"	"6h"	"2H*"	"9/2"		"T7771"	""	
""	"1863.687293"	"0.000009"	""	"1.7703e+07"	AA	"(421353.240343)"	"(426717.4826633)"	"5f"	"2F*"	"7/2"	"6g"	"2G"	"9/2"		"T7771"	""	
""	"1863.694764"	"0.000009"	""	"5.0581e+03"	AA	"(421353.2402246)"	"(426717.461041)"	"5g"	"2G"	"7/2"	"6f"	"2F*"	"7/2"		"T7771"	""	
""	"1863.694829"	"0.000009"	""	"6.3225e+05"	AA	"(421353.240343)"	"(426717.4609726)"	"5f"	"2F*"	"7/2"	"6g"	"2G"	"7/2"		"T7771"	""	
""	"1863.695265"	"0.000009"	""	"2.6335e+07"	AA	"(421353.2777059)"	"(426717.49708121)"	"5g"	"2G"	"9/2"	"6h"	"2H*"	"11/2"		"T7771"	""	
""	"1863.700289"	"0.000009"	""	"5.8522e+05"	AA	"(421353.2777059)"	"(426717.48262081)"	"5g"	"2G"	"9/2"	"6h"	"2H*"	"9/2"		"T7771"	""	
""	"1863.707320"	"0.000010"	""	"5.9597e+05"	AA	"(421353.240343)"	"(426717.425022)"	"5f"	"2F*"	"7/2"	"6d"	"2D"	"5/2"		"T7771"	""	
""	"1863.707324"	"0.000009"	""	"1.8211e+05"	AA	"(421353.2402246)"	"(426717.424890)"	"5g"	"2G"	"7/2"	"6f"	"2F*"	"5/2"		"T7771"	""	
""	"1863.707787"	"0.000009"	""	"1.7705e+05"	AA	"(421353.2777059)"	"(426717.461041)"	"5g"	"2G"	"9/2"	"6f"	"2F*"	"7/2"		"T7771"	""	
""	"1863.710688"	"0.000010"	""	"1.3827e+06"	AA	"(421353.178101)"	"(426717.3530854)"	"5d"	"2D"	"5/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
""	"1863.710737"	"0.000010"	""	"6.2583e+05"	AA	"(421353.177874)"	"(426717.352717)"	"5f"	"2F*"	"5/2"	"6d"	"2D"	"3/2"		"T7771"	""	
""	"1863.736783"	"0.000009"	""	"2.8637e+06"	AA	"(421353.05378699)"	"(426717.1536654)"	"5p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T7771"	""	
""	"1863.742649"	"0.000010"	""	"1.5368e+06"	AA	"(421353.053159)"	"(426717.1361554)"	"5d"	"2D"	"3/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
